ID	altura	diametro	inclinación	especie	origen	brotes
14	10	35	0	Ceibo	Nativo/Autóctono	5
97	10	50	0	Palo borracho	Nativo/Autóctono	3
124	12	15	0	Álamo	Exótico	2
135	12	15	0	Álamo	Exótico	3
342	16	25	0	Palo borracho	Nativo/Autóctono	7
405	16	50	0	Eucalipto	Exótico	2
422	22	34	0	Eucalipto	Exótico	4
663	22	34	0	Eucalipto	Exótico	2
710	22	34	0	Eucalipto	Exótico	4
844	22	34	0	Eucalipto	Exótico	4
848	22	34	0	Eucalipto	Exótico	2
900	22	34	0	Eucalipto	Exótico	2
927	21	32	0	Eucalipto	Exótico	2
931	21	32	0	Eucalipto	Exótico	3
940	21	32	0	Eucalipto	Exótico	3
976	21	32	0	Eucalipto	Exótico	3
1049	21	32	0	Eucalipto	Exótico	4
1126	21	32	0	Eucalipto	Exótico	3
1487	7	7	0	Álamo	Exótico	3
1525	29	98	0	Eucalipto	Exótico	3
1619	14	32	0	Álamo	Exótico	3
1838	35	60	0	Eucalipto	Exótico	2
1948	35	110	10	Eucalipto	Exótico	3
2035	32	60	7	Eucalipto	Exótico	2
2281	3	7	0	Palo borracho	Nativo/Autóctono	4
2708	13	36	0	Fresno	Exótico	3
2848	12	38	0	Palo borracho	Nativo/Autóctono	5
2890	3	12	0	Ficus	Exótico	2
3195	15	55	0	Palo borracho	Nativo/Autóctono	5
3200	12	25	0	Álamo	Exótico	4
3213	15	10	0	Fresno	Exótico	3
3484	13	22	0	Álamo	Exótico	2
3634	13	48	0	Álamo	Exótico	3
4022	6	50	0	Ceibo	Nativo/Autóctono	5
4191	18	16	0	Fresno	Exótico	3
4229	15	66	0	Palo borracho	Nativo/Autóctono	6
4486	22	190	0	Palo borracho	Nativo/Autóctono	4
4542	12	48	6	Fresno	Exótico	4
4779	9	23	0	Fresno	Exótico	4
4818	3	2	0	Acacia	Exótico	2
5759	15	28	0	Álamo	Exótico	3
5784	17	22	0	Álamo	Exótico	4
5869	17	12	0	Álamo	Exótico	4
5924	22	68	0	Palo borracho	Nativo/Autóctono	5
